@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,0,26.2,21.3,0.00,32.5,37.6
0,0,26.6,21,0.00,37.6,38.7
0,0,26.5,20.8,0.00,38.7,33.5
0,0,26.8,20.9,0.00,33.5,31.5
0,0,26.7,22.1,0.00,31.5,31
0,0,28.8,22.8,0.00,31,31.5
0,0,28.6,22.5,0.00,31.5,37.6
0,0,27.7,23.1,0.00,37.6,32.5
0,0,23.5,20,0.00,32.5,33
0,7,24.1,18.1,0.00,33,30
0,0,24,19.3,0.00,30,28
0,0,25.8,21.8,0.00,28,29
0,0,27.1,21,0.00,29,31.5
0,0,27,22,0.00,31.5,30.5
0,0,26,23.2,0.00,30.5,38.1
0.5,0,22.6,17.5,0.00,38.1,30
0,0.8,22.2,17.4,0.00,30,33.5
0,0,20.9,16.5,0.00,33.5,32
0,0,21.3,16.3,0.00,32,31
0,0,22.6,16.4,0.00,31,30
0,0.6,20.3,15,0.00,30,30.5
2.3,8.9,19.9,13.4,0.00,30.5,31.5
5.2,0.7,13.9,10.5,0.00,31.5,33
4,1.9,14.2,9.3,0.00,33,34
0,0,14.3,10.6,0.00,34,35
0,0,19.4,14.2,0.00,35,36.5
0,0,19.2,17.4,0.00,36.5,35.5
0,0,20.4,17.5,0.00,35.5,35.5
0,0,20.5,16.8,0.00,35.5,35
0,0.2,19.4,14.4,0.00,35,34
0,0,18.7,13.4,0.00,34,33.5
0,0,19.2,12.6,0.00,33.5,34
0,0,19.1,14.1,0.00,34,34.5
0,0,19.4,15.5,0.00,34.5,34.5
0,0,20.1,16.7,0.00,34.5,34.5
0,0,22.2,16.2,0.00,34.5,34.5
0,0,22.3,16.5,0.00,34.5,34.5
0,0,22.5,16.2,0.00,34.5,34
0,0,22.1,16.6,0.00,34,29
0,0,20.3,16,0.00,29,27.5
0,0,21.2,13.8,0.00,27.5,28
0.1,0,19.8,13.6,0.00,28,31
0,0,18.2,14.1,0.00,31,32
1.5,0,17.4,13.5,0.00,32,31.5
1,0.7,17.8,11.8,0.00,31.5,32
0,0,18.6,13.1,0.00,32,32.5
0,0,16.1,13,0.00,32.5,32.5
0,0.3,11.4,10.4,0.00,32.5,34
3.3,2.1,13,8.6,0.00,34,36
1.5,1.9,11.2,6.6,63.62,36,141
0.8,0,9.7,6.8,63.62,141,154
3.3,6.2,5.3,3,63.62,154,166
1.6,1.6,6.9,2.9,63.62,166,180
0,0.4,7.8,4,63.62,180,174
1.8,2.1,10.4,2.9,63.62,174,158
0,0.2,11.3,6.2,63.62,158,152
0,0,13.6,8.8,63.62,152,143
5,2.2,12.6,7.2,63.62,143,171
0.6,2.9,15.6,9.4,63.62,171,196
0,0,11.2,9.4,63.62,196,226
4,0,13,8.3,63.62,226,244
0,0,14.8,9.8,63.62,244,239
0,0.1,15.4,9.3,63.62,239,246
0,0,13.3,10.2,56.22,246,247
2.2,15.6,13.8,10.4,56.22,247,250
0,0.1,15.2,9.2,56.22,250,267
0,0,16.1,8.8,37.80,267,261
0,0,15.4,11.1,37.80,261,237
0,0,14.1,10.4,37.80,237,232
0,2.5,15.4,9.8,37.80,232,246
5.9,10.6,15,7.8,37.80,246,294
1.7,6.3,13.4,9.2,37.80,294,291
7,3.4,11.6,10.1,37.80,291,352
14.4,6.6,4.9,2.1,37.80,352,415
0,4.1,5.4,-1.2,37.80,415,405
0,0.6,8.8,3,37.80,405,364
0,0,11.2,6.2,37.80,364,334
0,0,10.4,5.2,37.80,334,268
8.6,10,11.6,8.9,37.80,268,276
3.1,0.4,13.7,11.2,37.80,276,301
10.6,0.3,11,7.8,30.08,301,316
6.5,1.2,11.1,6,30.08,316,352
1.1,12.1,14.2,10,30.08,352,355
0,0,13,9.1,30.08,355,366
7.7,6.8,12,10.1,30.08,366,394
0.7,4.2,13.6,10.7,30.08,394,419
6,1.4,10.6,9.3,30.08,419,478
10,10,13.2,9.2,30.08,478,567
0.1,0.1,12.9,8.2,30.08,567,586
0,0,15.4,9.5,30.08,586,509
0,0,18.8,13,20.31,509,468
0,0,15,10.6,20.31,468,443
0.3,0.6,14.4,9.6,20.31,443,421
0,2.8,15.2,9.4,20.31,421,394
0,0,18.6,12.4,8.50,394,370
0,0,18.3,14.4,8.50,370,353
0,0,11.6,8.6,8.50,353,342
2.5,0,14.9,10.2,8.50,342,318
0,0,18.6,11.8,8.50,318,299
0,0.2,20,14,8.50,299,281
0,0,19.8,13.6,5.83,281,266
0,0.6,19.5,12.4,5.83,266,264
0,0,19.7,14.2,5.51,264,253
0,0,21.5,15.2,5.51,253,239
0,0,22.3,16,5.51,239,236
0,0,16.7,13.3,5.51,236,233
10.8,0.5,14.2,9.9,5.51,233,223
5.8,0.4,17.6,13,5.51,223,204
0,0,20.8,15.2,5.51,204,191
0,0,23.4,16.6,4.41,191,178
0,0,24.3,17.3,4.41,178,159
2.1,0,24.2,16.4,4.41,159,165
