@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,0,28,22.22222222,0.00,86.6,76.8
0,0,27.7,20.61111111,0.00,76.8,74.3
0,0,27.8,20.38888889,0.00,74.3,75.1
0,0,28.8,21,0.00,75.1,71.7
0,0,29.9,22.05555556,0.00,71.7,66.3
0,0,27.8,21.11111111,0.00,66.3,58.1
0,0,25.5,19.38888889,0.00,58.1,51.7
0,0,23.6,18.44444444,0.00,51.7,50.3
2.5,0.2,24.9,17.94444444,0.00,50.3,71.7
0,1,19.6,15.94444444,0.00,71.7,74.3
9.2,11,21.8,14.5,0.00,74.3,84.8
0.3,12.5,24.8,17.88888889,0.00,84.8,76.8
0,0,26.2,20.27777778,0.00,76.8,84.8
0,0.2,25,18.38888889,0.00,84.8,92.3
1,14,25.8,18.55555556,0.00,92.3,77.7
0,0.8,25,19,0.00,77.7,65.5
6.3,7,21.4,15.94444444,0.00,65.5,81.2
0,3.7,24.4,18.11111111,0.00,81.2,97
0,2,25.6,19.27777778,0.00,97,91.3
0,0.1,28.6,21.33333333,0.00,91.3,87.5
0,0,30,22.88888889,0.00,87.5,86.6
0,0,29.9,21.55555556,0.00,86.6,82.1
0,0,29.4,20.61111111,0.00,82.1,76
0,0,29.9,20.27777778,0.00,76,80.3
0,0,30,21.22222222,0.00,80.3,68.5
0,0,28.2,21.61111111,0.00,68.5,60.3
0,0,26.6,18.44444444,0.00,60.3,61
0,0,27.6,20.72222222,0.00,61,60.3
0,0,27.4,21.77777778,0.00,60.3,58.1
0,0,27.9,20.83333333,0.00,58.1,56.7
0,0,28.8,21.72222222,0.00,56.7,55.9
0,0,29.8,23.61111111,0.00,55.9,51
0,0,28.4,23.33333333,0.00,51,46.1
0,0,29,21.11111111,0.00,46.1,49.6
0,0,29.8,22.55555556,0.00,49.6,46.1
0,0,27,21,0.00,46.1,40.1
0,0,28.9,21.38888889,0.00,40.1,38.9
0,0,28.5,20.83333333,0.00,38.9,38.3
0,1.8,27,20,0.00,38.3,36.4
0,5.3,27.2,18.44444444,0.00,36.4,35.8
0.4,1,25.4,18.83333333,0.00,35.8,35.8
0,0,26,19.11111111,0.00,35.8,36.4
0,0,26.6,18.72222222,0.00,36.4,38.3
0,0,27.1,19.72222222,0.00,38.3,38.3
0,0,23.2,18,0.00,38.3,35.2
0,0,23.2,18.72222222,0.00,35.2,33.6
0,0,24.6,20.22222222,0.00,33.6,32.6
0,0.4,27,20.05555556,0.00,32.6,34.7
0,0,25.8,19.88888889,0.00,34.7,40.1
0,0.5,23.6,17.94444444,0.00,40.1,37.6
0,0,24.3,17.27777778,0.00,37.6,38.3
0,0,24.8,18.94444444,0.00,38.3,43.4
0,0,26.2,20.16666667,0.00,43.4,40.1
0,0,28.4,21.83333333,0.00,40.1,39.5
0,0,26.6,22.66666667,0.00,39.5,38.9
0,0,27.8,21.66666667,0.00,38.9,39.5
0,0,25.2,19,0.00,39.5,36.4
0,0,25.5,20.16666667,0.00,36.4,32.6
0,0,26.2,20.66666667,0.00,32.6,32.6
0,0,27.7,22.16666667,0.00,32.6,32.1
0,0,25.8,21.83333333,0.00,32.1,31.6
0,0,21.2,19.55555556,0.00,31.6,36.4
6.5,0,22.7,17.16666667,0.00,36.4,43.4
0,0.7,23.5,17.88888889,0.00,43.4,41.3
0,0,24,18.55555556,0.00,41.3,40.7
0,0,24.5,19.27777778,0.00,40.7,40.7
0,0,27.9,18.55555556,0.00,40.7,41.3
0,0,25,17.77777778,0.00,41.3,41.3
0.4,3,20.5,13.94444444,0.00,41.3,41.3
0,0.4,21,14.22222222,0.00,41.3,40.1
0,0,21.4,14.55555556,0.00,40.1,37.6
0,0,21.1,14.94444444,0.00,37.6,36.4
0,0,22.2,14.66666667,0.00,36.4,35.8
0,0,22.4,14.33333333,0.00,35.8,35.8
0,0,21.6,15.83333333,0.00,35.8,35.2
0,0,21.7,15.88888889,0.00,35.2,34.7
0,0,21.8,17.38888889,0.00,34.7,37.6
1.7,0.8,19,13.94444444,0.00,37.6,38.3
0,3.7,20,13.77777778,0.00,38.3,38.3
0,0,20.1,15.5,0.00,38.3,39.5
0,0.1,19.6,13.94444444,0.00,39.5,40.7
0,0,20.6,14.88888889,0.00,40.7,40.1
0,0,21.2,15.83333333,0.00,40.1,39.5
0,0.1,20.8,16.77777778,0.00,39.5,39.5
0,0,19.4,15.66666667,0.00,39.5,39.5
